Player,Overall_K,Overall_D,Overall_KD,Overall_+/-,Overall_M,SnD_K,SnD_D,SnD_KD,SnD_+/-,SnD_K/M,SnD_FK,SnD_M,Hardpoint_K,Hardpoint_D,Hardpoint_KD,Hardpoint_+/-,Hardpoint_K/M,Hardpoint_TM,Hardpoint_M,Control_K,Control_D,Control_KD,Control_+/-,Control_K/M,Control_CP,Control_M
Scrap,438,370,1.184,68,22,57,55,1.036,2,7.1,8,8,212,169,1.254,43,26.5,590,8,169,146,1.158,23,28.2,40,6
Envoy,420,369,1.138,51,22,42,59,0.712,-17,5.3,10,8,205,163,1.258,42,25.6,892,8,173,147,1.177,26,28.8,37,6
HyDra,401,378,1.061,23,22,46,55,0.836,-9,5.8,12,8,193,172,1.122,21,24.1,339,8,162,151,1.073,11,27.0,10,6
TJHaLy,398,394,1.010,4,20,52,44,1.182,8,8.7,8,6,212,219,0.968,-7,23.6,752,9,134,131,1.023,3,26.8,28,5
ReeaL,396,394,1.005,2,20,56,51,1.098,5,8.0,11,7,228,221,1.032,7,28.5,339,8,112,122,0.918,-10,22.4,8,5
Ghosty,386,368,1.049,18,22,59,49,1.204,10,7.4,6,8,198,175,1.131,23,24.8,555,8,129,144,0.896,-15,21.5,30,6
Gwinn,383,372,1.030,11,20,46,42,1.095,4,7.7,9,6,200,214,0.935,-14,22.2,459,9,137,116,1.181,21,27.4,15,5
Vivid,381,418,0.912,-37,20,40,50,0.800,-10,6.7,12,6,217,234,0.927,-17,24.1,478,9,124,134,0.925,-10,24.8,32,5
RenKoR,362,387,0.935,-25,20,33,49,0.674,-16,4.7,4,7,231,217,1.065,14,28.9,582,8,98,121,0.810,-23,19.6,18,5
MettalZ,354,418,0.847,-64,20,57,52,1.096,5,8.1,12,7,191,230,0.830,-39,23.9,564,8,106,136,0.779,-30,21.2,15,5
Lucky,353,368,0.959,-15,20,40,49,0.816,-9,5.7,1,7,205,216,0.949,-11,25.6,504,8,108,103,1.049,5,21.6,21,5
SlasheR,340,346,0.983,-6,20,35,44,0.796,-9,5.8,6,6,195,189,1.032,6,21.7,420,9,110,113,0.974,-3,22.0,21,5
Simp,336,314,1.070,22,18,56,43,1.302,13,8.0,10,7,172,155,1.110,17,28.7,404,6,108,116,0.931,-8,21.6,26,5
Drazah,331,318,1.041,13,18,44,38,1.158,6,6.3,7,7,172,161,1.068,11,28.7,401,6,115,119,0.966,-4,23.0,14,5
aBeZy,326,329,0.991,-3,18,62,42,1.476,20,8.9,16,7,142,175,0.811,-33,23.7,457,6,122,112,1.089,10,24.4,21,5
Cellium,320,289,1.107,31,18,40,37,1.081,3,5.7,8,7,150,156,0.962,-6,25.0,208,6,130,96,1.354,34,26.0,10,5
Gio,305,247,1.235,58,13,31,24,1.292,7,7.8,0,4,191,157,1.217,34,31.8,235,6,83,66,1.258,17,27.7,5,3
Nero,294,270,1.089,24,13,35,29,1.207,6,8.8,9,4,172,157,1.096,15,28.7,403,6,87,84,1.036,3,29.0,4,3
Estreal,261,259,1.008,2,13,30,30,1.000,0,7.5,3,4,153,145,1.055,8,25.5,388,6,78,84,0.929,-6,26.0,13,3
PaulEhx,255,271,0.941,-16,13,27,31,0.871,-4,6.8,10,4,147,157,0.936,-10,24.5,482,6,81,83,0.976,-2,27.0,7,3
Huke,253,235,1.077,18,14,27,34,0.794,-7,5.4,5,5,169,157,1.076,12,28.2,368,6,57,44,1.296,13,19.0,6,3
Shotzzy,250,260,0.962,-10,14,39,27,1.444,12,7.8,5,5,161,176,0.915,-15,26.8,372,6,50,57,0.877,-7,16.7,6,3
Kenny,242,274,0.883,-32,14,25,32,0.781,-7,5.0,3,5,153,189,0.810,-36,25.5,227,6,64,53,1.208,11,21.3,7,3
Dashy,240,258,0.930,-18,14,37,34,1.088,3,7.4,13,5,148,181,0.818,-33,24.7,412,6,55,43,1.279,12,18.3,4,3
CleanX,231,221,1.045,10,11,29,31,0.936,-2,7.3,5,4,122,114,1.070,8,30.5,257,4,80,76,1.053,4,26.7,6,3
JoeDeceives,225,221,1.018,4,11,30,31,0.968,-1,7.5,6,4,113,115,0.983,-2,28.3,196,4,82,75,1.093,7,27.3,13,3
Beans,210,191,1.100,19,11,29,26,1.115,3,7.3,1,4,109,97,1.124,12,27.3,199,4,72,68,1.059,4,24.0,12,3
Insight,203,196,1.036,7,11,31,27,1.148,4,7.8,5,4,103,98,1.051,5,25.8,407,4,69,71,0.972,-2,23.0,18,3
Sib,193,172,1.122,21,9,26,15,1.733,11,8.7,3,3,110,112,0.982,-2,27.5,201,4,57,45,1.267,12,28.5,6,2
Kremp,188,182,1.033,6,9,22,20,1.100,2,7.3,5,3,122,114,1.070,8,30.5,252,4,44,48,0.917,-4,22.0,6,2
Mack,183,197,0.929,-14,9,19,20,0.950,-1,6.3,6,3,112,124,0.903,-12,28.0,261,4,52,53,0.981,-1,26.0,2,2
Attach,162,168,0.964,-6,9,19,17,1.118,2,6.3,1,3,102,113,0.903,-11,25.5,227,4,41,38,1.079,3,20.5,5,2
04,147,166,0.886,-19,7,13,17,0.765,-4,6.5,5,2,75,84,0.893,-9,25.0,186,3,59,65,0.908,-6,29.5,10,2
Abuzah,145,160,0.906,-15,7,9,17,0.529,-8,4.5,2,2,82,83,0.988,-1,27.3,144,3,54,60,0.900,-6,27.0,9,2
Snoopy,142,138,1.029,4,8,17,20,0.850,-3,5.7,2,3,91,78,1.167,13,30.3,115,3,34,40,0.850,-6,17.0,5,2
Owakening,132,137,0.964,-5,8,23,19,1.211,4,7.7,4,3,72,80,0.900,-8,24.0,273,3,37,38,0.974,-1,18.5,4,2
Nastie,129,146,0.884,-17,7,9,15,0.600,-6,4.5,3,2,67,72,0.931,-5,22.3,156,3,53,59,0.898,-6,26.5,4,2
Purj,124,165,0.752,-41,8,16,25,0.640,-9,5.3,4,3,78,89,0.876,-11,26.0,168,3,30,51,0.588,-21,15.0,3,2
Hicksy,114,142,0.803,-28,7,17,13,1.308,4,8.5,1,2,54,77,0.701,-23,18.0,221,3,43,52,0.827,-9,21.5,2,2
Cammy,113,152,0.743,-39,8,12,22,0.546,-10,4.0,2,3,69,88,0.784,-19,23.0,148,3,32,42,0.762,-10,16.0,2,2
KiSMET,94,85,1.106,9,5,12,15,0.800,-3,6.0,1,2,66,49,1.347,17,33.0,173,2,16,21,0.762,-5,16.0,2,1
Lynz,89,79,1.127,10,5,16,14,1.143,2,8.0,2,2,65,47,1.383,18,32.5,190,2,8,18,0.444,-10,8.0,5,1
Priestahh,84,83,1.012,1,5,12,14,0.857,-2,6.0,0,2,58,51,1.137,7,29.0,101,2,14,18,0.778,-4,14.0,3,1
Skyz,74,78,0.949,-4,5,13,14,0.929,-1,6.5,3,2,46,47,0.979,-1,23.0,94,2,15,17,0.882,-2,15.0,1,1
KiinG,72,70,1.029,2,3,10,9,1.111,1,10.0,1,1,22,23,0.957,-1,22.0,63,1,40,38,1.053,2,40.0,5,1
Exnid,63,62,1.016,1,3,5,8,0.625,-3,5.0,0,1,24,22,1.091,2,24.0,35,1,34,32,1.063,2,34.0,4,1
Roxas,51,64,0.797,-13,3,10,6,1.667,4,10.0,0,1,18,26,0.692,-8,18.0,49,1,23,32,0.719,-9,23.0,6,1
d7oom,46,67,0.687,-21,3,6,8,0.750,-2,6.0,3,1,13,25,0.520,-12,13.0,30,1,27,34,0.794,-7,27.0,6,1
