Player,Overall_K,Overall_D,Overall_KD,Overall_+/-,Overall_M,SnD_K,SnD_D,SnD_KD,SnD_+/-,SnD_K/M,SnD_FK,SnD_M,Hardpoint_K,Hardpoint_D,Hardpoint_KD,Hardpoint_+/-,Hardpoint_K/M,Hardpoint_TM,Hardpoint_M,Control_K,Control_D,Control_KD,Control_+/-,Control_K/M,Control_CP,Control_M
JoeDeceives,507,454,1.117,53,24,49,45,1.089,4,7.0,7,7,315,270,1.167,45,28.6,912,11,143,139,1.029,4,23.8,35,6
CleanX,483,490,0.986,-7,24,43,53,0.811,-10,6.1,9,7,300,291,1.031,9,27.3,477,11,140,146,0.959,-6,23.3,14,6
Mercules,474,440,1.077,34,24,46,45,1.022,1,6.6,6,7,274,260,1.054,14,24.9,912,11,154,135,1.141,19,25.7,22,6
Insight,426,418,1.019,8,24,36,47,0.766,-11,5.1,7,7,275,248,1.109,27,25.0,584,11,115,123,0.935,-8,19.2,31,6
Neptune,411,408,1.007,3,21,42,40,1.050,2,7.0,6,6,282,260,1.085,22,28.2,683,10,87,108,0.806,-21,17.4,5,5
Nastie,382,353,1.082,29,21,36,37,0.973,-1,6.0,3,6,257,213,1.207,44,25.7,653,10,89,103,0.864,-14,17.8,16,5
Abuzah,381,370,1.030,11,21,43,31,1.387,12,7.2,7,6,252,242,1.041,10,25.2,757,10,86,97,0.887,-11,17.2,13,5
04,366,412,0.888,-46,21,40,45,0.889,-5,6.7,14,6,244,261,0.935,-17,24.4,553,10,82,106,0.774,-24,16.4,16,5
MettalZ,318,321,0.991,-3,17,36,41,0.878,-5,6.0,8,6,196,196,1.000,0,28.0,388,7,86,84,1.024,2,21.5,15,4
HyDra,311,245,1.269,66,15,38,29,1.310,9,7.6,6,5,192,148,1.297,44,32.0,307,6,81,68,1.191,13,20.3,2,4
Scrap,299,245,1.220,54,15,41,23,1.783,18,8.2,7,5,169,154,1.097,15,28.2,392,6,89,68,1.309,21,22.3,15,4
