Rank,Player,Overall_K,Overall_D,Overall_KD,Overall_+/-,Overall_M,SND_K,SND_D,SND_KD,SND_+/-,SND_K/M,SND_FK,SND_M,HP_K,HP_D,HP_KD,HP_+/-,HP_K/M,HP_TM,HP_M,Control_K,Control_D,Control_KD,Control_+/-,Control_K/M,Control_CP,Control_M
1,Neptune,569,551,1.033,18,28,77,67,1.149,10,7.7,10,10,306,310,0.987,-4,27.8,846,11,186,174,1.069,12,26.6,28,7
2,04,543,563,0.965,-20,28,57,70,0.814,-13,5.7,11,10,306,314,0.975,-8,27.8,622,11,180,179,1.006,1,25.7,30,7
3,Abuzah,517,527,0.981,-10,28,61,58,1.052,3,6.1,10,10,291,304,0.957,-13,26.5,735,11,165,165,1.000,0,23.6,26,7
4,Nastie,494,493,1.002,1,28,64,57,1.123,7,6.4,10,10,275,292,0.942,-17,25.0,514,11,155,144,1.076,11,22.1,32,7
5,RenKoR,355,288,1.233,67,17,43,35,1.229,8,7.2,4,6,214,172,1.244,42,30.6,383,7,98,81,1.210,17,24.5,15,4
6,Shotzzy,338,273,1.238,65,17,42,33,1.273,9,7.0,15,6,165,128,1.289,37,27.5,468,6,131,112,1.170,19,26.2,15,5
7,ReeaL,326,295,1.105,31,17,44,37,1.189,7,7.3,9,6,193,174,1.109,19,27.6,556,7,89,84,1.060,5,22.3,14,4
8,Snoopy,325,336,0.967,-11,18,47,33,1.424,14,6.7,10,7,176,191,0.922,-15,25.1,322,7,102,112,0.911,-10,25.5,23,4
9,Mercules,316,270,1.170,46,17,38,25,1.520,13,6.3,6,6,146,131,1.115,15,24.3,482,6,132,114,1.158,18,26.4,21,5
10,Purj,315,339,0.929,-24,18,44,46,0.957,-2,6.3,12,7,162,205,0.790,-43,23.1,430,7,109,88,1.239,21,27.3,19,4
11,SupeR,315,271,1.162,44,17,44,36,1.222,8,7.3,3,6,174,157,1.108,17,24.9,553,7,97,78,1.244,19,24.3,11,4
12,Huke,313,290,1.079,23,17,26,32,0.813,-6,4.3,4,6,165,139,1.187,26,27.5,333,6,122,119,1.025,3,24.4,10,5
13,Dashy,306,248,1.234,58,17,35,27,1.296,8,5.8,4,6,151,117,1.291,34,25.2,476,6,120,104,1.154,16,24.0,16,5
14,Cammy,299,338,0.885,-39,18,45,40,1.125,5,6.4,6,7,173,194,0.892,-21,24.7,387,7,81,104,0.779,-23,20.3,16,4
15,MettalZ,291,329,0.885,-38,17,36,47,0.766,-11,6.0,4,6,177,187,0.947,-10,25.3,490,7,78,95,0.821,-17,19.5,19,4
16,Owakening,285,338,0.843,-53,18,37,37,1.000,0,5.3,7,7,155,205,0.756,-50,22.1,269,7,93,96,0.969,-3,23.3,17,4
17,JoeDeceives,196,190,1.032,6,10,16,21,0.762,-5,5.3,1,3,109,93,1.172,16,27.3,285,4,71,76,0.934,-5,23.7,15,3
18,CleanX,195,209,0.933,-14,10,18,23,0.783,-5,6.0,7,3,113,111,1.018,2,28.3,153,4,64,75,0.853,-11,21.3,7,3
19,Beans,184,190,0.968,-6,10,20,21,0.952,-1,6.7,1,3,95,103,0.922,-8,23.8,175,4,69,66,1.046,3,23.0,18,3
20,HyDra,183,159,1.151,24,8,17,21,0.810,-4,5.7,3,3,99,77,1.286,22,33.0,145,3,67,61,1.098,6,33.5,6,2
21,Envoy,169,169,1.000,0,8,17,22,0.773,-5,5.7,2,3,89,83,1.072,6,29.7,187,3,63,64,0.984,-1,31.5,7,2
22,Gwinn,166,142,1.169,24,7,16,16,1.000,0,8.0,5,2,95,73,1.301,22,31.7,178,3,55,53,1.038,2,27.5,8,2
23,aBeZy,162,157,1.032,5,9,18,21,0.857,-3,6.0,2,3,85,76,1.118,9,28.3,153,3,59,60,0.983,-1,19.7,9,3
24,Scrap,158,165,0.958,-7,8,17,22,0.773,-5,5.7,4,3,87,83,1.048,4,29.0,137,3,54,60,0.900,-6,27.0,13,2
25,Insight,151,190,0.795,-39,10,7,22,0.318,-15,2.3,1,3,79,96,0.823,-17,19.8,282,4,65,72,0.903,-7,21.7,10,3
26,Cellium,151,132,1.144,19,9,23,18,1.278,5,7.7,5,3,81,63,1.286,18,27.0,336,3,47,51,0.922,-4,15.7,3,3
27,Ghosty,143,158,0.905,-15,8,9,21,0.429,-12,3.0,0,3,77,78,0.987,-1,25.7,338,3,57,59,0.966,-2,28.5,13,2
28,Drazah,141,170,0.829,-29,9,20,20,1.000,0,6.7,5,3,72,84,0.857,-12,24.0,153,3,49,66,0.742,-17,16.3,6,3
29,Simp,131,161,0.814,-30,9,12,19,0.632,-7,4.0,3,3,69,76,0.908,-7,23.0,180,3,50,66,0.758,-16,16.7,12,3
30,TJHaLy,127,156,0.814,-29,7,15,14,1.071,1,7.5,4,2,64,83,0.771,-19,21.3,206,3,48,59,0.814,-11,24.0,6,2
31,SlasheR,113,135,0.837,-22,7,12,14,0.857,-2,6.0,1,2,59,74,0.797,-15,19.7,116,3,42,47,0.894,-5,21.0,5,2
32,Wrecks,107,145,0.738,-38,7,11,14,0.786,-3,5.5,2,2,57,78,0.731,-21,19.0,176,3,39,53,0.736,-14,19.5,2,2
