Rank,Player,Overall_K,Overall_D,Overall_KD,Overall_+/-,Overall_M,SND_K,SND_D,SND_KD,SND_+/-,SND_K/M,SND_FK,SND_M,HP_K,HP_D,HP_KD,HP_+/-,HP_K/M,HP_TM,HP_M,Control_K,Control_D,Control_KD,Control_+/-,Control_K/M,Control_CP,Control_M
1,04,437,411,1.063,26,21,38,49,0.776,-11,5.4,9,7,257,230,1.117,27,28.6,530,9,142,132,1.076,10,28.4,20,5
2,JoeDeceives,434,367,1.183,67,20,49,48,1.021,1,7.0,9,7,266,213,1.249,53,33.3,628,8,119,106,1.123,13,23.8,33,5
3,MettalZ,428,406,1.054,22,21,44,49,0.898,-5,6.3,6,7,260,240,1.083,20,28.9,820,9,124,117,1.060,7,24.8,27,5
4,CleanX,419,384,1.091,35,20,56,45,1.244,11,8.0,9,7,221,222,0.996,-1,27.6,366,8,142,117,1.214,25,28.4,12,5
5,RenKoR,418,373,1.121,45,21,48,45,1.067,3,6.9,4,7,259,220,1.177,39,28.8,609,9,111,108,1.028,3,22.2,22,5
6,Neptune,414,419,0.988,-5,21,42,46,0.913,-4,6.0,10,7,235,237,0.992,-2,26.1,588,9,137,136,1.007,1,27.4,14,5
7,ReeaL,406,389,1.044,17,21,53,48,1.104,5,7.6,12,7,232,237,0.979,-5,25.8,448,9,121,104,1.164,17,24.2,23,5
8,Abuzah,401,364,1.102,37,21,31,44,0.705,-13,4.4,2,7,262,205,1.278,57,29.1,716,9,108,115,0.939,-7,21.6,36,5
9,SupeR,401,369,1.087,32,21,41,45,0.911,-4,5.9,4,7,242,221,1.095,21,26.9,431,9,118,103,1.146,15,23.6,20,5
10,Mercules,401,363,1.105,38,19,47,28,1.679,19,7.8,3,6,213,205,1.039,8,26.6,547,8,141,130,1.085,11,28.2,21,5
11,Dashy,381,334,1.141,47,19,39,32,1.219,7,6.5,4,6,214,184,1.163,30,26.8,838,8,128,118,1.085,10,25.6,17,5
12,Nastie,378,377,1.003,1,21,41,40,1.025,1,5.9,5,7,217,224,0.969,-7,24.1,475,9,120,113,1.062,7,24.0,8,5
13,Abe,378,371,1.019,7,20,50,48,1.042,2,7.1,4,7,210,210,1.000,0,26.3,552,8,118,113,1.044,5,23.6,26,5
14,Insight,368,327,1.125,41,20,47,46,1.022,1,6.7,6,7,214,187,1.144,27,26.8,509,8,107,94,1.138,13,21.4,26,5
15,Shotzzy,358,345,1.038,13,19,47,38,1.237,9,7.8,8,6,196,182,1.077,14,24.5,495,8,115,125,0.920,-10,23.0,17,5
16,Huke,356,346,1.029,10,19,34,38,0.895,-4,5.7,5,6,204,190,1.074,14,25.5,426,8,118,118,1.000,0,23.6,16,5
17,Scrap,345,306,1.128,39,16,42,35,1.200,7,8.4,4,5,194,183,1.060,11,27.7,439,7,109,88,1.239,21,27.3,23,4
18,Craze,345,307,1.124,38,16,43,40,1.075,3,8.6,7,5,223,201,1.110,22,31.9,363,7,79,66,1.197,13,19.8,6,4
19,Mack,312,285,1.095,27,16,32,36,0.889,-4,6.4,2,5,205,188,1.090,17,29.3,520,7,75,61,1.230,14,18.8,24,4
20,Fire,311,293,1.061,18,16,30,34,0.882,-4,5.0,5,6,184,155,1.187,29,30.7,502,6,97,104,0.933,-7,24.3,8,4
21,Exceed,309,319,0.969,-10,16,44,35,1.257,9,7.3,2,6,171,171,1.000,0,28.5,255,6,94,113,0.832,-19,23.5,1,4
22,HyDra,307,281,1.093,26,16,31,30,1.033,1,6.2,6,5,178,159,1.120,19,25.4,314,7,98,92,1.065,6,24.5,12,4
23,Mamba,291,283,1.028,8,16,35,29,1.207,6,7.0,3,5,186,195,0.954,-9,26.6,333,7,70,59,1.186,11,17.5,20,4
24,Vivid,283,313,0.904,-30,16,28,37,0.757,-9,5.6,0,5,177,210,0.843,-33,25.3,359,7,78,66,1.182,12,19.5,17,4
25,Hicksy,282,326,0.865,-44,16,23,37,0.622,-14,3.8,3,6,165,175,0.943,-10,27.5,261,6,94,114,0.825,-20,23.5,4,4
26,Cammy,278,274,1.015,4,16,35,22,1.591,13,7.0,5,5,163,179,0.911,-16,23.3,478,7,80,73,1.096,7,20.0,6,4
27,Snoopy,278,277,1.004,1,16,42,25,1.680,17,8.4,6,5,165,183,0.902,-18,23.6,352,7,71,69,1.029,2,17.8,12,4
28,Capsidal,277,321,0.863,-44,16,39,38,1.026,1,6.5,6,6,145,174,0.833,-29,24.2,388,6,93,109,0.853,-16,23.3,8,4
29,Ghosty,276,267,1.034,9,16,30,28,1.071,2,6.0,3,5,161,149,1.081,12,23.0,468,7,85,90,0.944,-5,21.3,18,4
30,Purj,275,303,0.908,-28,16,24,32,0.750,-8,4.8,6,5,185,194,0.954,-9,26.4,466,7,66,77,0.857,-11,16.5,8,4
31,aBeZy,254,253,1.004,1,13,28,25,1.120,3,7.0,1,4,174,173,1.006,1,29.0,193,6,52,55,0.946,-3,17.3,11,3
32,Cellium,248,240,1.033,8,13,30,24,1.250,6,7.5,1,4,169,159,1.063,10,28.2,518,6,49,57,0.860,-8,16.3,4,3
33,Drazah,246,275,0.895,-29,13,24,27,0.889,-3,6.0,1,4,184,181,1.017,3,30.7,253,6,38,67,0.567,-29,12.7,12,3
34,KiSMET,246,230,1.070,16,11,23,22,1.046,1,7.7,5,3,143,121,1.182,22,28.6,343,5,80,87,0.920,-7,26.7,14,3
35,Envoy,243,302,0.805,-59,16,36,26,1.385,10,7.2,5,5,142,176,0.807,-34,20.3,471,7,65,100,0.650,-35,16.3,17,4
36,Owakening,243,271,0.897,-28,16,24,30,0.800,-6,4.8,2,5,156,166,0.940,-10,22.3,426,7,63,75,0.840,-12,15.8,10,4
37,Simp,241,259,0.931,-18,13,28,24,1.167,4,7.0,0,4,156,177,0.881,-21,26.0,491,6,57,58,0.983,-1,19.0,9,3
38,oJohnny,234,216,1.083,18,11,25,21,1.191,4,8.3,5,3,117,122,0.959,-5,23.4,307,5,92,73,1.260,19,30.7,11,3
39,Pred,232,187,1.241,45,12,27,21,1.286,6,6.8,2,4,149,119,1.252,30,29.8,200,5,56,47,1.192,9,18.7,6,3
40,Gwinn,208,186,1.118,22,11,24,23,1.044,1,6.0,3,4,104,91,1.143,13,26.0,327,4,80,72,1.111,8,26.7,9,3
41,Sib,203,173,1.173,30,11,20,27,0.741,-7,5.0,0,4,99,87,1.138,12,24.8,162,4,84,59,1.424,25,28.0,2,3
42,TJHaLy,197,212,0.929,-15,12,21,25,0.840,-4,5.3,0,4,126,136,0.927,-10,25.2,325,5,50,51,0.980,-1,16.7,11,3
43,Lunarz,197,196,1.005,1,11,13,17,0.765,-4,4.3,1,3,119,109,1.092,10,23.8,205,5,65,70,0.929,-5,21.7,17,3
44,Kremp,196,202,0.970,-6,11,24,26,0.923,-2,6.0,0,4,96,100,0.960,-4,24.0,252,4,76,76,1.000,0,25.3,5,3
45,Spart,195,187,1.043,8,11,27,25,1.080,2,6.8,2,4,91,97,0.938,-6,22.8,141,4,77,65,1.185,12,25.7,6,3
46,Exnid,184,217,0.848,-33,12,17,19,0.895,-2,4.3,1,4,119,139,0.856,-20,23.8,273,5,48,59,0.814,-11,16.0,12,3
47,Diamondcon,180,217,0.830,-37,11,17,20,0.850,-3,5.7,0,3,87,123,0.707,-36,17.4,153,5,76,74,1.027,2,25.3,8,3
48,Arcitys,178,189,0.942,-11,12,15,20,0.750,-5,3.8,0,4,109,119,0.916,-10,21.8,436,5,54,50,1.080,4,18.0,8,3
49,Harry,155,161,0.963,-6,8,11,10,1.100,1,5.5,3,2,86,109,0.789,-23,21.5,151,4,58,42,1.381,16,29.0,9,2
50,Kenny,150,164,0.915,-14,8,18,21,0.857,-3,6.0,4,3,75,91,0.824,-16,25.0,111,3,57,52,1.096,5,28.5,7,2
51,Estreal,150,157,0.955,-7,8,18,18,1.000,0,6.0,3,3,79,77,1.026,2,26.3,182,3,53,62,0.855,-9,26.5,2,2
52,Nero,147,169,0.870,-22,8,18,20,0.900,-2,6.0,3,3,73,93,0.785,-20,24.3,174,3,56,56,1.000,0,28.0,6,2
53,Gio,145,161,0.901,-16,8,11,19,0.579,-8,3.7,0,3,73,90,0.811,-17,24.3,119,3,61,52,1.173,9,30.5,6,2
54,Mythix,138,175,0.789,-37,8,13,11,1.182,2,6.5,0,2,82,108,0.759,-26,20.5,167,4,43,56,0.768,-13,21.5,7,2
55,Bance,132,177,0.746,-45,8,13,12,1.083,1,6.5,5,2,79,114,0.693,-35,19.8,60,4,40,51,0.784,-11,20.0,10,2
56,Beans,127,160,0.794,-33,8,9,12,0.750,-3,4.5,0,2,77,100,0.770,-23,19.3,144,4,41,48,0.854,-7,20.5,8,2
57,Brack,120,120,1.000,0,7,19,13,1.462,6,9.5,2,2,70,72,0.972,-2,23.3,226,3,31,35,0.886,-4,15.5,6,2
58,Nium,110,112,0.982,-2,7,10,14,0.714,-4,5.0,2,2,57,61,0.934,-4,19.0,163,3,43,37,1.162,6,21.5,4,2
59,Prolute,109,133,0.820,-24,7,13,14,0.929,-1,6.5,2,2,72,78,0.923,-6,24.0,153,3,24,41,0.585,-17,12.0,0,2
60,Uli,106,148,0.716,-42,7,11,16,0.688,-5,5.5,0,2,70,89,0.787,-19,23.3,141,3,25,43,0.581,-18,12.5,5,2
61,Assault,104,115,0.904,-11,7,11,14,0.786,-3,5.5,1,2,70,62,1.129,8,23.3,179,3,23,39,0.590,-16,11.5,4,2
62,2ReaL,100,122,0.820,-22,7,14,16,0.875,-2,7.0,3,2,60,71,0.845,-11,20.0,159,3,26,35,0.743,-9,13.0,7,2
63,Standy,96,137,0.701,-41,7,8,18,0.444,-10,4.0,0,2,64,80,0.800,-16,21.3,170,3,24,39,0.615,-15,12.0,4,2
