Rank,Player,Overall_K,Overall_D,Overall_KD,Overall_+/-,Overall_M,SND_K,SND_D,SND_KD,SND_+/-,SND_K/M,SND_FK,SND_M,HP_K,HP_D,HP_KD,HP_+/-,HP_K/M,HP_TM,HP_M,Control_K,Control_D,Control_KD,Control_+/-,Control_K/M,Control_CP,Control_M
1,HyDra,506,457,1.107,49,25,60,43,1.395,17,7.5,13,8,283,259,1.093,24,28.3,431,10,163,155,1.052,8,23.3,13,7
2,Scrap,486,445,1.092,41,25,50,41,1.220,9,6.3,11,8,287,268,1.071,19,28.7,575,10,149,136,1.096,13,21.3,40,7
3,Envoy,472,471,1.002,1,25,65,39,1.667,26,8.1,7,8,251,282,0.890,-31,25.1,662,10,156,150,1.040,6,22.3,31,7
4,Ghosty,434,435,0.998,-1,25,40,42,0.952,-2,5.0,7,8,247,253,0.976,-6,24.7,1024,10,147,140,1.050,7,21.0,39,7
5,Simp,389,322,1.208,67,18,35,33,1.061,2,7.0,6,5,245,187,1.310,58,30.6,771,8,109,102,1.069,7,21.8,21,5
6,JoeDeceives,371,325,1.142,46,17,27,33,0.818,-6,5.4,6,5,224,196,1.143,28,28.0,706,8,120,96,1.250,24,30.0,27,4
7,Nero,370,326,1.135,44,17,36,38,0.947,-2,6.0,12,6,246,195,1.262,51,35.1,480,7,88,93,0.946,-5,22.0,21,4
8,CleanX,363,367,0.989,-4,17,28,34,0.824,-6,5.6,6,5,221,224,0.987,-3,27.6,345,8,114,109,1.046,5,28.5,13,4
9,aBeZy,349,350,0.997,-1,18,29,43,0.674,-14,5.8,5,5,215,204,1.054,11,26.9,563,8,105,103,1.019,2,21.0,13,5
10,Cellium,345,310,1.113,35,18,31,38,0.816,-7,6.2,3,5,211,175,1.206,36,26.4,354,8,103,97,1.062,6,20.6,10,5
11,Drazah,343,347,0.989,-4,18,30,38,0.790,-8,6.0,5,5,215,200,1.075,15,26.9,571,8,98,109,0.899,-11,19.6,11,5
12,Beans,325,338,0.962,-13,17,32,33,0.970,-1,6.4,2,5,195,215,0.907,-20,24.4,482,8,98,90,1.089,8,24.5,29,4
13,Mercules,322,317,1.016,5,16,33,29,1.138,4,8.3,8,4,222,217,1.023,5,27.8,623,8,67,71,0.944,-4,16.8,15,4
14,Shotzzy,320,325,0.985,-5,16,28,27,1.037,1,7.0,6,4,228,221,1.032,7,28.5,421,8,64,77,0.831,-13,16.0,7,4
